price	bedrooms	bathrooms	sqft_living	sqft_lot	floors	waterfront	view	condition	grade	sqft_above	sqft_basement	yr_built	yr_renovated	zipcode	lat	long	sqft_living15	sqft_lot15
240000	3	1.75	1760	6500	1	0	0	3	7	1150	610	1987	0	98038	47.3647	-122.05	1760	8125
609900	4	2.5	3190	7399	2	0	0	3	10	3190	0	2006	0	98038	47.3558	-122.004	3250	7323
289950	3	2.5	1670	6186	2	0	0	3	7	1670	0	2002	0	98038	47.3668	-122.031	2390	6924
374950	4	2.75	2730	4683	2	0	0	3	7	2730	0	2005	0	98038	47.3608	-122.043	2230	4924
287653	3	1	1050	16050	1	0	0	4	7	1050	0	1960	1981	98038	47.3841	-122.006	1610	27600
265000	3	2.5	1720	6271	2	0	0	3	7	1720	0	1993	0	98038	47.3898	-122.049	1570	6587
275000	3	2.25	1420	8549	2	0	0	4	7	1420	0	1989	0	98038	47.3576	-122.039	1560	7471
314950	3	2.25	1654	8479	2	0	0	3	7	1654	0	1995	0	98038	47.3627	-122.037	1654	8479
378000	4	2.5	2790	4650	2	0	0	3	8	2790	0	2004	0	98038	47.3556	-122.026	2820	4650
291000	4	2.5	1860	6325	2	0	0	4	7	1860	0	1991	0	98038	47.3492	-122.03	1860	6449
189950	2	1	1030	4188	1	0	0	3	8	1030	0	1981	0	98038	47.3738	-122.057	1450	3376
287000	3	2.25	1370	6000	2	0	0	4	7	1370	0	1992	0	98038	47.3484	-122.033	1370	6200
380000	4	2.5	2000	6921	2	0	0	3	8	2000	0	2003	0	98038	47.3559	-122.014	2430	6339
367000	4	2.5	2960	6219	2	0	0	3	9	2960	0	2006	0	98038	47.3603	-122.037	2960	5361
219000	2	2	1310	2550	2	0	0	3	6	1310	0	2004	0	98038	47.3496	-122.022	1310	2550
245000	3	2.5	1600	4271	2	0	0	3	7	1600	0	2003	0	98038	47.386	-122.036	1520	3225
457000	4	3	2800	7845	2	0	0	3	8	2800	0	2002	0	98038	47.3544	-122.013	2800	6977
620000	4	2.5	1840	220308	2	0	0	3	8	1840	0	2000	0	98038	47.4306	-122.049	1890	65340
260000	2	1	1550	15250	1.5	0	0	5	7	1550	0	1920	0	98038	47.407	-122.045	1520	34929
545000	4	2.75	3410	35040	2	0	0	3	9	3410	0	1984	0	98038	47.4054	-122.03	2580	37263
307500	3	2.25	1646	7364	2	0	0	3	7	1646	0	1994	0	98038	47.3646	-122.037	1975	9161
294000	3	1.75	1530	9362	1	0	0	3	7	1530	0	1987	0	98038	47.3643	-122.049	1480	8125
270000	3	2.25	1520	7930	1	0	0	3	7	1160	360	1988	0	98038	47.3605	-122.049	1530	7930
338000	3	2.5	2470	4948	2	0	0	3	8	2470	0	2003	0	98038	47.3438	-122.039	2500	4993
368000	4	2	2500	36900	1	0	0	3	7	1540	960	1972	0	98038	47.3708	-122.049	1960	36900
435000	3	2	2660	16677	1	0	0	3	9	2210	450	1990	0	98038	47.3689	-122.055	2660	11355
260000	3	1.75	1340	8000	1	0	0	3	7	1340	0	1980	0	98038	47.3651	-122.044	1690	8000
339000	4	2.5	1830	8601	2	0	0	3	7	1830	0	2003	0	98038	47.3576	-122.016	1830	5184
315000	3	1.75	1890	10661	1	0	0	5	7	1460	430	1978	0	98038	47.3583	-122.056	1680	9604
429800	3	2	1970	7000	1	0	0	3	8	1970	0	1986	0	98038	47.3744	-122.043	1970	7365
352000	4	2.5	2470	5015	2	0	0	3	8	2470	0	2004	0	98038	47.3457	-122.041	2470	5100
297000	3	2.5	1690	4988	2	0	0	3	7	1690	0	2002	0	98038	47.3561	-122.015	1830	4733
272500	3	2	1540	6250	1	0	0	3	7	1540	0	1998	0	98038	47.3539	-122.025	2070	6250
225000	3	1	1200	9936	1	0	0	4	6	1200	0	1969	0	98038	47.3609	-122.029	1200	10189
295000	3	2.5	1460	7936	2	0	0	3	7	1460	0	1995	0	98038	47.3673	-122.017	1830	7936
310000	3	2.5	1990	3600	2	0	0	3	7	1990	0	2004	0	98038	47.3841	-122.041	1790	3600
353000	3	2.75	2170	8396	2	0	0	3	7	2170	0	1995	0	98038	47.3812	-122.023	2170	8378
360000	4	2.5	2850	4650	2	0	0	3	8	2850	0	2004	0	98038	47.3552	-122.026	2850	4650
230000	2	1.75	1910	3376	2	0	0	3	8	1910	0	1980	0	98038	47.3733	-122.057	1470	3623
258500	3	2	1460	7930	1	0	0	3	7	1460	0	1989	0	98038	47.359	-122.049	1630	7930
398000	4	2.5	2820	5510	2	0	0	3	9	2820	0	2005	0	98038	47.3477	-122.024	2820	5510
275000	3	2.5	1600	7000	2	0	0	4	8	1600	0	1993	0	98038	47.3534	-122.057	1700	7000
525000	4	2.5	2910	7631	2	0	2	3	9	2910	0	2006	0	98038	47.3552	-122.001	3190	5552
358000	4	2.5	1830	7308	2	0	0	3	7	1830	0	2002	0	98038	47.3565	-122.015	1830	5692
363000	3	2	1750	7000	1	0	0	3	8	1750	0	1993	0	98038	47.3693	-122.041	1840	6969
340000	4	2.25	2230	6791	2	0	0	3	8	2230	0	2005	0	98038	47.3769	-122.028	2420	6297
449950	4	3	2800	6977	2	0	0	3	8	2800	0	2003	0	98038	47.3542	-122.014	2800	6600
322500	4	2.5	1940	7107	2	0	0	3	7	1940	0	2000	0	98038	47.3843	-122.032	1850	5705
242000	3	2	1260	8092	1	0	0	3	7	1260	0	1986	0	98038	47.3635	-122.054	1950	8092
335000	3	2.5	1700	6698	2	0	0	3	7	1700	0	1997	0	98038	47.3826	-122.028	2190	7346
269000	3	2.5	1560	4200	2	0	0	3	7	1560	0	2003	0	98038	47.3838	-122.026	1560	4200
490000	4	3.5	3200	6420	2	0	0	3	9	3200	0	2006	0	98038	47.3545	-122.001	3200	6291
299900	4	2.5	1580	3632	2	0	0	3	7	1580	0	2011	0	98038	47.3672	-122.019	1950	3800
482000	4	2.5	2710	35868	2	0	0	3	9	2710	0	1989	0	98038	47.375	-122.022	2780	36224
337500	5	2.5	2070	4698	2	0	0	3	7	2070	0	1999	0	98038	47.3539	-122.024	2010	4698
500000	3	2	3040	41072	1	0	0	4	8	1520	1520	1978	0	98038	47.3944	-121.972	2230	54014
388000	4	2.5	2560	5800	2	0	0	3	9	2560	0	2005	0	98038	47.3474	-122.025	3040	5800
346950	3	2.5	2040	4348	2	0	0	4	8	2040	0	2006	0	98038	47.3517	-121.999	2380	4348
522000	4	2.5	2835	6598	2	0	0	3	8	2835	0	2002	0	98038	47.3878	-122.034	2770	6969
293000	4	2.25	2360	6260	2	0	0	3	7	2360	0	1998	0	98038	47.3882	-122.053	2144	6773
195000	2	2	1180	2553	2	0	0	3	6	1180	0	2005	0	98038	47.3501	-122.02	1310	2687
635000	3	2.25	2680	175982	1	0	0	3	9	2680	0	2004	0	98038	47.4487	-122.033	3170	215186
699000	5	2.5	3340	24755	2	0	0	3	10	3340	0	2002	0	98038	47.4565	-122.066	3420	23274
485000	3	2.5	2340	59058	1	0	0	3	8	2340	0	1985	0	98038	47.4052	-122.028	2700	37263
269000	3	2.5	1440	3800	2	0	0	3	7	1440	0	2005	0	98038	47.3606	-122.039	1890	3819
190000	3	2	1320	7625	1	0	0	3	7	1320	0	1987	0	98038	47.3635	-122.045	1420	7500
418000	4	2.5	2750	8471	2	0	0	3	7	2750	0	2003	0	98038	47.3671	-122.029	2610	7482
449500	4	2	2430	199940	1	0	0	3	8	1310	1120	1961	0	98038	47.4116	-122.029	2220	150282
297500	4	2.5	1910	5000	2	0	0	3	7	1910	0	2005	0	98038	47.3608	-122.036	2020	5000
279000	3	1.5	1280	16738	1.5	0	0	4	5	1280	0	1932	0	98038	47.3895	-122.023	1590	16317
275000	3	2	1380	4500	1	0	0	3	7	1380	0	2008	0	98038	47.3661	-122.021	1620	4000
470000	5	3.75	3860	6901	2	0	0	3	7	3860	0	2003	0	98038	47.3694	-122.032	3000	8584
1.35E+06	4	4.75	5230	89298	2.5	0	0	3	11	5230	0	2002	0	98038	47.4097	-122.063	4110	107153
222000	2	2	1360	3300	2	0	0	3	6	1360	0	2004	0	98038	47.3489	-122.022	1310	3300
549950	4	2.5	3780	6800	2	0	0	3	8	3780	0	2004	0	98038	47.3526	-122.012	3640	7326
265000	3	1.5	1530	7500	1.5	0	0	3	7	1530	0	1986	0	98038	47.3639	-122.055	2080	11250
325000	4	2.5	1930	8458	2	0	0	3	7	1930	0	1993	0	98038	47.3645	-122.039	1670	9485
422500	3	2	1960	6450	1	0	0	4	7	1000	960	1977	0	98038	47.3972	-122.029	1660	20720
279000	3	2.5	1450	4106	2	0	0	3	7	1450	0	2011	0	98038	47.3655	-122.019	2000	4000
649950	3	2.5	3310	387684	1	0	0	3	8	2160	1150	1919	1996	98038	47.4167	-121.936	2340	189050
360000	4	2.5	2640	7388	2	0	0	3	7	2640	0	2003	0	98038	47.3505	-122.027	2640	6383
550000	3	2.5	2720	62310	1	0	0	3	8	2040	680	1985	0	98038	47.4168	-122.074	2770	204296
729000	3	3.25	2250	60548	1	0	0	3	9	2250	0	2005	0	98038	47.4246	-122.014	2760	84070
399000	4	2.5	2800	4687	2	0	0	3	9	2800	0	2005	0	98038	47.3594	-122.04	2750	4750
728000	4	3.5	3490	87497	2	0	0	3	9	3490	0	2001	0	98038	47.4028	-122.002	2400	55657
274000	3	1.75	1590	7620	1	0	0	4	7	1090	500	1984	0	98038	47.3655	-122.048	1590	7620
285000	3	2	1460	6377	1	0	0	3	7	1460	0	1995	0	98038	47.3679	-122.02	1600	6250
399950	4	2.5	3200	7545	2	0	0	3	7	3200	0	2003	0	98038	47.3666	-122.03	2840	7137
412000	4	3	2430	7242	2	0	0	3	8	2430	0	2003	0	98038	47.3533	-122.015	2430	7242
393000	3	2.25	2140	10256	2	0	0	3	8	2140	0	1987	0	98038	47.3751	-122.044	2040	11717
310000	3	2.5	1670	4220	2	0	0	3	7	1670	0	2002	0	98038	47.3834	-122.028	1670	4238
224975	3	1	960	12745	1	0	0	4	6	960	0	1977	0	98038	47.3617	-122.03	1160	10488
349000	4	2.5	1830	4694	2	0	0	3	7	1830	0	2003	0	98038	47.3573	-122.016	1830	5175
233000	3	2	1350	7686	1	0	0	3	7	1350	0	1989	0	98038	47.3609	-122.053	1470	7686
240000	3	1.75	1590	7931	1	0	0	3	7	1190	400	1979	0	98038	47.3628	-122.05	1680	7931
240000	4	2.5	1980	7264	2	0	0	3	7	1980	0	1996	0	98038	47.3678	-122.019	1600	6380
369000	4	2.75	2420	6495	2	0	0	3	8	2420	0	2005	0	98038	47.3771	-122.029	2420	6200
317000	3	2.5	1840	5011	2	0	0	3	8	1840	0	2012	0	98038	47.3555	-122.054	2000	4793
269950	3	2.25	1510	6000	1	0	0	4	7	1150	360	1993	0	98038	47.3484	-122.036	1510	6000
320000	3	2.5	2130	6969	2	0	0	3	7	2130	0	2003	0	98038	47.3655	-122.027	1670	9545
489000	4	2.5	3910	8442	2	0	0	3	9	2710	1200	2000	0	98038	47.3766	-122.027	2650	7576
350000	4	2.5	2140	7095	2	0	0	3	8	2140	0	1992	0	98038	47.3528	-122.057	1600	7182
303500	4	2.5	1920	7345	2	0	0	3	8	1920	0	1992	0	98038	47.3526	-122.055	1860	7364
364250	3	2.5	2280	213879	2	0	0	3	8	2280	0	1994	0	98038	47.4213	-122.033	2380	178160
263000	3	1.75	1580	9187	1	0	0	3	8	1180	400	1993	0	98038	47.3538	-122.047	1620	6397
419000	4	2.5	3010	9155	2	0	0	3	9	3010	0	2005	0	98038	47.3542	-122.027	3010	5762
411000	2	2.25	1910	108900	1	0	0	4	7	1010	900	1972	0	98038	47.4206	-122.023	2050	108900
325000	3	2.5	1580	4698	2	0	0	3	7	1580	0	1998	0	98038	47.3539	-122.025	2070	4698
365000	5	2.5	2260	7040	2	0	0	3	8	2260	0	1999	0	98038	47.352	-122.038	2180	6910
289000	3	2.5	1490	8628	2	0	0	3	7	1490	0	1994	0	98038	47.3643	-122.041	1640	8514
428400	4	2.5	2650	6000	2	0	0	3	9	2650	0	2000	0	98038	47.3768	-122.028	2630	6381
263000	3	1.75	1410	8100	2	0	0	3	7	1410	0	1985	0	98038	47.3617	-122.046	1560	8100
265000	3	2.5	1530	6000	2	0	0	4	7	1530	0	1991	0	98038	47.3487	-122.036	1360	6000
397500	4	2.5	2570	7859	2	0	0	3	8	2570	0	1992	0	98038	47.3736	-122.045	2150	7284
653000	3	2	2680	8429	1	0	0	4	9	1880	800	1950	1991	98038	47.372	-122.036	1570	8640
455000	4	2.5	2811	7251	2	0	0	3	9	2811	0	2009	0	98038	47.3686	-122.058	3040	7250
410000	3	2.25	2200	16921	2	0	0	3	8	2200	0	1987	0	98038	47.3727	-122.051	2060	16921
315000	4	2.5	1780	6000	2	0	0	3	9	1780	0	2000	0	98038	47.3774	-122.027	2650	6000
215000	4	2.5	1700	6675	2	0	0	3	7	1700	0	1997	0	98038	47.3638	-122.053	1570	7540
315000	4	2.5	1700	6675	2	0	0	3	7	1700	0	1997	0	98038	47.3638	-122.053	1570	7540
241000	2	2	1470	3128	2	0	0	3	6	1470	0	2005	0	98038	47.349	-122.021	1180	2576
352500	4	2.5	2300	219106	1	0	0	4	7	1840	460	1958	0	98038	47.4044	-121.963	2120	123710
252000	3	2.5	1680	8284	2	0	0	3	7	1680	0	1989	0	98038	47.3609	-122.048	1550	8284
329950	4	2.5	1920	4600	2	0	0	3	7	1920	0	2002	0	98038	47.3795	-122.023	2200	6600
438900	4	2.5	2740	5700	2	0	0	3	9	2740	0	2006	0	98038	47.3535	-122.026	3010	5281
533000	4	2.5	2830	6536	2	0	0	3	8	2830	0	2003	0	98038	47.3888	-122.032	2830	6872
713900	3	2.5	3370	167706	1	0	0	3	10	3370	0	2000	0	98038	47.4379	-122.022	3350	213444
215000	3	2	1280	6994	1	0	0	3	7	1280	0	1991	0	98038	47.3889	-122.048	1290	7514
449000	4	2.5	2960	6031	2	0	0	3	9	2960	0	2005	0	98038	47.3596	-122.04	2570	5012
408000	3	2.5	2620	8403	2	0	0	3	8	2620	0	1991	0	98038	47.3675	-122.042	2190	7842
353500	3	2.5	2020	4845	2	0	0	3	7	2020	0	2001	0	98038	47.3848	-122.033	1930	5134
320000	4	2.5	2570	4865	2	0	0	3	8	2570	0	2005	0	98038	47.3588	-122.038	2570	4933
890000	4	3.25	4360	210254	1	0	0	3	10	2320	2040	2000	0	98038	47.4375	-122.008	2410	87120
426500	4	2.5	2960	4640	2	0	0	3	9	2960	0	2005	0	98038	47.3597	-122.04	2750	4623
480000	4	2.5	3620	16000	2	0	0	3	9	3620	0	1976	0	98038	47.3711	-122.06	2590	16000
211000	3	2	1060	7412	1	0	0	3	7	1060	0	1987	0	98038	47.3897	-122.051	1080	7093
585000	4	3	3400	5100	2	0	0	3	9	3400	0	2006	0	98038	47.3548	-122.002	3400	5672
284000	3	2.25	1580	7034	1	0	0	4	7	1180	400	1989	0	98038	47.3564	-122.04	1470	7358
245000	3	2.25	1700	8100	1	0	0	3	7	1200	500	1980	0	98038	47.3601	-122.046	1700	8100
274950	3	2.25	1570	8767	1	0	0	3	7	1180	390	1990	0	98038	47.3568	-122.038	1570	7434
557500	3	2	2510	35255	1	0	2	3	9	2510	0	1994	0	98038	47.4012	-122.025	3140	36450
760000	4	2.5	3580	97574	2	0	0	3	9	3580	0	2004	0	98038	47.3901	-122.071	2510	27068
318400	4	2.5	1820	6916	2	0	0	3	7	1820	0	1994	0	98038	47.3862	-122.029	1680	6995
280000	3	2	1280	7633	1	0	0	3	7	1280	0	1991	0	98038	47.3883	-122.05	1450	6783
366000	3	2.5	2370	4375	2	0	0	3	8	2370	0	2006	0	98038	47.354	-121.999	2380	4606
340000	4	2.5	2090	4200	2	0	0	3	7	2090	0	2007	0	98038	47.3659	-122.017	2090	4200
350000	3	2.75	2370	4632	2	0	0	3	7	2370	0	2002	0	98038	47.3794	-122.022	2290	5012
350000	3	2.25	1860	8378	2	0	0	3	7	1860	0	1995	0	98038	47.3875	-122.032	1870	8378
286000	4	2.5	1820	7930	2	0	0	5	7	1820	0	1989	0	98038	47.359	-122.05	1490	7930
269950	3	1.75	1400	7735	1	0	0	4	7	1400	0	1989	0	98038	47.357	-122.04	1530	7754
394000	5	3.25	3620	4650	2	0	0	3	8	2790	830	2004	0	98038	47.3552	-122.026	2850	4650
292000	3	2.5	1950	7421	2	0	0	3	8	1950	0	1996	0	98038	47.3842	-122.036	2200	4668
275000	3	2.5	1560	4244	2	0	0	3	7	1560	0	2002	0	98038	47.3834	-122.027	1670	4251
332500	4	2.5	2220	4720	2	0	0	3	7	2220	0	1998	0	98038	47.3541	-122.024	2090	4717
294000	4	2.25	2190	3746	2	0	0	3	8	2190	0	2005	0	98038	47.3896	-122.034	2200	3591
312000	4	2.5	1830	5175	2	0	0	3	7	1830	0	2003	0	98038	47.3565	-122.016	1830	5175
305000	3	2.25	1646	12414	2	0	0	3	7	1646	0	1996	0	98038	47.363	-122.035	1654	8734
275000	3	2.25	1620	6415	2	0	0	4	7	1620	0	1989	0	98038	47.3577	-122.038	1640	7253
359500	3	2.5	2070	4689	2	0	0	3	8	2070	0	2013	0	98038	47.3545	-122.056	1880	4593
390000	3	2.5	2770	8820	1	0	0	3	7	1900	870	1980	2004	98038	47.3685	-122.048	1850	10920
318200	3	2.5	1990	3644	2	0	0	3	7	1990	0	2010	0	98038	47.3531	-122.017	2580	3800
419900	4	2.5	2750	5767	2	0	0	3	9	2750	0	2005	0	98038	47.3595	-122.038	2800	5376
250000	4	2.5	1800	8100	2	0	0	3	7	1800	0	1998	0	98038	47.3611	-122.047	1590	8100
180000	3	1	840	5700	1	0	0	4	5	840	0	1945	0	98038	47.3948	-122.028	1430	12600
355000	4	2.5	1890	7867	2	0	0	3	8	1890	0	1996	0	98038	47.3788	-122.031	2250	7867
456500	4	2.5	2580	11780	2	0	0	3	9	2580	0	2003	0	98038	47.3658	-122.04	2410	8403
444000	4	3	2800	7198	2	0	0	3	8	2800	0	2002	0	98038	47.3538	-122.013	3610	7845
428900	4	2.5	2820	5056	2	0	0	3	9	2820	0	2006	0	98038	47.3591	-122.038	2820	5150
269500	3	2	1640	8395	1	0	0	4	7	1640	0	1991	0	98038	47.348	-122.035	1510	7180
269000	3	1.75	1530	7930	1	0	0	5	7	1530	0	1986	0	98038	47.3609	-122.05	1610	7930
415000	3	2.5	2420	10733	2	0	0	3	8	2420	0	1996	0	98038	47.3835	-122.035	1950	8534
260656	3	1	1620	13803	1	0	0	4	6	1620	0	1969	0	98038	47.3631	-122.028	1260	10370
350000	4	2.5	2440	4000	2	0	0	3	7	2440	0	2009	0	98038	47.3841	-122.036	2410	4502
565000	5	2.5	4320	107157	1	0	0	4	8	2160	2160	1967	0	98038	47.4009	-122.059	2480	107157
239000	3	1	1200	7810	1	0	0	4	7	1200	0	1967	0	98038	47.3631	-122.05	1590	7800
292500	3	2.25	1390	6004	2	0	0	3	8	1390	0	1993	0	98038	47.3536	-122.047	1630	6397
305000	3	2.25	1646	9519	2	0	0	3	7	1646	0	1994	0	98038	47.3646	-122.036	1975	8889
520000	3	1.75	1940	219527	1	0	0	3	7	1940	0	1991	0	98038	47.4214	-122.02	2060	108900
679000	4	2.5	3680	7236	2	0	0	3	10	3680	0	2006	0	98038	47.3543	-122.005	3310	7180
296000	3	2.5	1560	5845	2	0	0	3	7	1560	0	2003	0	98038	47.3851	-122.029	1860	5752
206000	3	1	1060	10350	1	0	0	4	7	1060	0	1980	0	98038	47.365	-122.028	1500	9660
295000	3	2.5	1690	4102	2	0	0	3	7	1690	0	2003	0	98038	47.3552	-122.015	1830	4733
394000	3	2.5	2550	5349	2	0	0	3	7	2550	0	2004	0	98038	47.3504	-122.026	2640	5400
775000	5	2.75	3750	12077	2	0	4	3	10	3750	0	2005	0	98038	47.3525	-122.002	3120	7255
321000	3	2.5	2020	4183	2	0	0	3	7	2020	0	2012	0	98038	47.3658	-122.017	2030	4140
616000	4	2.5	3440	6915	2	0	0	3	10	3440	0	2006	0	98038	47.3538	-122.004	3200	6915
251000	3	2	1650	7930	1	0	0	4	7	1650	0	1989	0	98038	47.3617	-122.05	1510	7930
293000	3	2.5	1690	17383	2	0	0	3	7	1690	0	2003	0	98038	47.3691	-122.031	2610	7999
425000	4	2.5	2400	6053	2	0	0	3	8	2400	0	2001	0	98038	47.3869	-122.033	2460	6519
218000	2	2	1310	2841	2	0	0	3	6	1310	0	2004	0	98038	47.3502	-122.022	1360	2550
435000	3	2	2570	233481	1.5	0	0	4	8	2570	0	1986	0	98038	47.4199	-122.034	2280	157687
118000	1	1	670	7957	1	0	0	4	6	670	0	1978	0	98038	47.3594	-122.056	1600	7957
380000	4	3	2800	9764	2	0	0	3	8	2800	0	2002	0	98038	47.3543	-122.012	3610	8194
250000	3	2	1900	6660	1	0	0	5	7	950	950	1966	0	98038	47.3594	-122.054	1690	8111
453000	2	1.5	1680	17400	1.5	0	0	3	7	1680	0	1991	0	98038	47.3836	-122.006	1610	27600
364950	3	2.25	2520	6170	2	0	0	3	7	1850	670	2003	0	98038	47.3522	-122.042	2260	6967
335000	2	2	1420	5185	1	0	0	3	7	1420	0	2004	0	98038	47.3543	-122.022	2140	4890
314950	3	2.5	1690	4533	2	0	0	3	7	1690	0	2003	0	98038	47.3575	-122.016	1830	5175
300000	3	2.25	1760	5421	2	0	0	3	7	1760	0	1991	0	98038	47.3484	-122.037	1570	6000
212000	3	1.5	1690	9600	1	0	0	3	7	1210	480	1976	0	98038	47.3857	-122.079	1450	9647
366000	4	2.75	2170	9743	2	0	0	3	7	2170	0	1995	0	98038	47.3814	-122.024	1670	7734
240000	0	2.5	1810	5669	2	0	0	3	7	1810	0	2003	0	98038	47.3493	-122.053	1810	5685
849000	4	2.75	4010	87555	2	0	0	3	10	4010	0	2004	0	98038	47.4299	-121.998	2451	209523
290000	3	1.75	1520	15090	1	0	0	4	7	1520	0	1968	0	98038	47.398	-121.964	1580	18618
540500	3	2	2800	185130	1	0	0	3	8	2320	480	1996	0	98038	47.4133	-122.006	2200	72055
329950	4	2.5	2120	4558	2	0	0	3	7	2120	0	2002	0	98038	47.3795	-122.022	2370	5506
404000	3	2.5	2370	4324	2	0	0	3	8	2370	0	2006	0	98038	47.3515	-121.999	2370	4348
410000	4	2.5	2560	4020	2	0	0	3	9	2560	0	2006	0	98038	47.3533	-122.027	3010	4916
380000	4	2.5	2300	7707	2	0	0	3	8	2300	0	2004	0	98038	47.3497	-122.044	2320	6035
470000	5	3.25	3910	7077	2	0	0	3	9	2710	1200	2000	0	98038	47.3766	-122.027	2650	7077
280000	3	2.25	1860	9210	2	0	0	3	7	1860	0	1994	0	98038	47.3864	-122.03	1530	8091
199950	3	3	1530	2132	2	0	0	3	8	1530	0	1993	0	98038	47.3746	-122.056	1530	3384
315000	3	2.5	1790	6452	2	0	0	3	7	1790	0	2004	0	98038	47.3841	-122.042	1610	3600
399900	4	2.5	2710	8127	2	0	0	3	8	2710	0	1994	0	98038	47.379	-122.032	2520	8436
426000	4	2.5	2800	8494	2	0	0	3	8	2800	0	2004	0	98038	47.3521	-122.009	3740	8494
259875	5	2.5	2200	6250	2	0	0	3	7	2200	0	1996	0	98038	47.3675	-122.021	1850	6091
382500	4	2.5	2980	8786	2	0	0	3	8	2980	0	2003	0	98038	47.378	-122.03	2980	6718
427500	3	1.5	1900	43186	1.5	0	0	4	7	1300	600	1971	0	98038	47.4199	-121.99	2080	108028
415000	4	2.5	2210	213008	1	0	0	4	7	1210	1000	1975	0	98038	47.4039	-121.98	2270	52707
353000	4	2.5	2300	4249	2	0	0	3	8	2300	0	2006	0	98038	47.3516	-122	2390	4385
569999	3	2.5	3080	13880	2	0	0	3	9	3080	0	1990	0	98038	47.3726	-122.025	2780	15318
240000	3	2	1100	6360	1	0	0	3	7	1100	0	1991	0	98038	47.3878	-122.052	1620	6360
272000	4	2.25	1800	5555	2	0	0	3	7	1800	0	2003	0	98038	47.3498	-122.052	1810	5669
462000	4	2.5	2640	47480	1	0	0	4	8	1590	1050	1979	0	98038	47.4258	-122.021	2390	67415
265000	3	2.5	1640	7668	2	0	0	3	7	1640	0	1991	0	98038	47.3505	-122.027	1850	7200
270000	3	2.5	1690	7165	2	0	0	4	7	1690	0	1992	0	98038	47.3498	-122.058	1410	8590
660000	4	2.5	3170	186436	2	0	0	3	9	3170	0	2000	0	98038	47.4475	-122.034	3250	215186
309000	3	2.5	1780	7859	2	0	0	3	7	1780	0	1988	0	98038	47.3772	-122.045	1670	6618
305000	3	2.5	1690	5175	2	0	0	3	7	1690	0	2002	0	98038	47.3564	-122.016	1830	5175
549900	5	3	3610	7555	2	0	0	3	8	3610	0	2003	0	98038	47.3534	-122.012	3610	7979
