"Hotel_Address" "Hotel_Name" "lat" "lng" "Average_Score" "Total_Number_of_Reviews" "Negative_Word_Counts" "Positive_Word_Counts" "Number_of_Reviews_by_Reviewer" "Proportion_Postive" "Proportion_Negative"
"63" "101 Knightsbridge Westminster Borough London SW1X 7RN United Kingdom" "The Park Tower Knightsbridge a Luxury Collection Hotel" 51.5014191 -0.1625805 8.2 901 17.1890909090909 9.4 7.38545454545455 0.898181818181818 0.807272727272727
"64" "102 Avenue de Villiers 17th arr 75017 Paris France" "Amp re" 48.8848583 2.2997023 8.8 998 13.1395348837209 18.4418604651163 7.84302325581395 0.918604651162791 0.697674418604651
"65" "102 Avenue Victor Hugo 16th arr 75016 Paris France" "Melia Paris Champs Elys es" 48.8688962 2.2827459 8.3 95 9.33333333333333 11.0666666666667 5.8 0.866666666666667 0.8
"66" "102 Bd De Grenelle 15th arr 75015 Paris France" "Le Parisis Paris Tour Eiffel" 48.8494851 2.2955063 8.6 1477 18.3481308411215 24.035046728972 4.64018691588785 0.932242990654206 0.700934579439252
"67" "104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom" "Thistle Kensington Gardens" 51.5108439 -0.1839074 8.2 2134 16.1856148491879 16.8549883990719 5.9245939675174 0.950116009280742 0.743619489559165
"68" "108 Baker Street Westminster Borough London W1U 6LJ United Kingdom" "Park Plaza Sherlock Holmes London" 51.5209191 -0.1566567 8.2 1496 18.8699324324324 16.214527027027 5.21452702702703 0.935810810810811 0.777027027027027
"69" "108 Rue Saint Lazare 8th arr 75008 Paris France" "Hilton Paris Opera" 48.8756604 2.3252075 8.4 458 20.8990825688073 19.6238532110092 7.62385321100917 0.880733944954128 0.788990825688073
"70" "109 113 Queen s Gate Kensington and Chelsea London SW7 5LR United Kingdom" "The Kensington Hotel" 51.4925478 -0.1780611 8.7 874 16.036036036036 16.1951951951952 4.37837837837838 0.927927927927928 0.750750750750751
"71" "10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom" "Holiday Inn London Stratford City" 51.5426054 -0.0072708 8.7 2130 16.3420523138833 15.2032193158954 6.03521126760563 0.924547283702213 0.733400402414487
"72" "10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom" "Staybridge Suites London Stratford" 51.5426351 -0.0073272 9.2 945 13.6877551020408 19.4326530612245 5.62244897959184 0.961224489795918 0.730612244897959
"73" "11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom" "Shepherd s Bush Boutique Hotel" 51.5054544 -0.2262216 8 1069 22.9717514124294 18.4538606403013 7.45009416195857 0.937853107344633 0.806026365348399
"74" "11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom" "My Bloomsbury" 51.5188555 -0.1319172 8.1 1161 25.7451403887689 15.645788336933 6.59611231101512 0.915766738660907 0.812095032397408
"75" "11 15 Rue De Lyon 12th arr 75012 Paris France" "Holiday Inn Paris Gare de Lyon Bastille" 48.8468064 2.3714789 8.3 2200 13.4379746835443 16.4759493670886 8.13164556962025 0.926582278481013 0.734177215189873
"76" "11 Bis Rue Jules Chaplain 6th arr 75006 Paris France" "H tel Chaplain Paris Rive Gauche" 48.8427564 2.3305636 8.7 615 10.1654135338346 23.1127819548872 9.6015037593985 0.969924812030075 0.578947368421053
"77" "11 Bis rue Mazagran 10th arr 75010 Paris France" "H tel Regina Op ra Grands Boulevards" 48.8708508 2.3515882 7.9 287 25.4772727272727 22.1590909090909 7.84090909090909 0.909090909090909 0.727272727272727
"78" "11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom" "11 Cadogan Gardens" 51.4936161 -0.1592347 8.7 393 15.5283018867925 19.9748427672956 7.22641509433962 0.943396226415094 0.710691823899371
"79" "11 Knightsbridge Westminster Borough London SW1X 7LY United Kingdom" "The Wellesley Knightsbridge a Luxury Collection Hotel London" 51.502485 -0.1539265 9 185 12.4285714285714 11.8571428571429 8.18181818181818 0.922077922077922 0.701298701298701
"80" "11 Rue d Astorg 8th arr 75008 Paris France" "Hotel Astor Saint Honor " 48.8728324 2.3193886 7.5 101 24.75 16.125 3.79166666666667 0.875 0.875
"81" "11 Rue de l Arcade 8th arr 75008 Paris France" "Op ra Marigny" 48.871723 2.3235377 8.1 735 26.7826086956522 16.8695652173913 6.72173913043478 0.921739130434783 0.773913043478261
"82" "11 rue de Tr vise 9th arr 75009 Paris France" "H tel Diva Opera" 48.8732706 2.3450746 8.3 1353 19.2789699570815 16.1673819742489 5.01287553648069 0.918454935622318 0.768240343347639
"83" "11 rue du 8 Mai 1945 10th arr 75010 Paris France" "Le Marcel" 48.8761376 2.3572681 8.5 413 14.7638888888889 22.1944444444444 9.02777777777778 0.972222222222222 0.791666666666667
"84" "11 Rue Du Temple 4th arr 75004 Paris France" "H tel Duo" 48.8581186 2.3529369 8.6 883 16.262443438914 19.1900452488688 9.18099547511312 0.963800904977376 0.746606334841629
"85" "11 rue Paul Baudry 8th arr 75008 Paris France" "H tel Le Marianne" 48.8725794 2.3075779 8.7 213 11.8928571428571 15.0357142857143 9.73214285714286 0.928571428571429 0.75
"86" "11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom" "The Rembrandt" 51.4959227 -0.1702917 8.5 1802 17.5294943820225 18.4817415730337 6.30056179775281 0.950842696629214 0.741573033707865
"87" "110 rue Blomet 15th arr 75015 Paris France" "Hotel Eden" 48.8405612 2.2991035 8.5 477 14.8857142857143 17.4285714285714 8.01428571428571 0.942857142857143 0.728571428571429
"88" "111 avenue de la Bourdonnais 7th arr 75007 Paris France" "H tel de la Bourdonnais" 48.8550466 2.304583 8.8 1337 14.524861878453 21.2734806629834 7.82596685082873 0.941988950276243 0.665745856353591
"89" "111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom" "Ashburn Hotel" 51.4945522 -0.1861213 8.6 629 16.9623430962343 20.9414225941423 7.21338912133891 0.97907949790795 0.682008368200837
"90" "111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom" "Marlin Waterloo" 51.4990953 -0.1132136 8.6 218 23.2619047619048 20.1904761904762 4.10714285714286 0.892857142857143 0.797619047619048
"91" "112 boulevard de S bastopol 3rd arr 75003 Paris France" "Best Western Premier Marais Grands Boulevards" 48.8687425 2.3541761 8.3 1408 19.4612068965517 17.9353448275862 7.87068965517241 0.948275862068966 0.741379310344828
"92" "113 Lambeth Rd Lambeth London SE1 7LS United Kingdom" "Novotel London Waterloo" 51.4948465 -0.1187481 8.2 1047 24.0836236933798 14.2508710801394 5.0801393728223 0.912891986062718 0.843205574912892
"93" "116 Piccadilly Westminster Borough London W1J 7BJ United Kingdom" "The Athenaeum" 51.504716 -0.1475618 8.1 364 21.7724867724868 17.5185185185185 9.994708994709 0.873015873015873 0.783068783068783
"94" "117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom" "Park International Hotel" 51.4945144 -0.1866172 7.8 1252 24.5139442231076 14.6155378486056 8.57569721115538 0.886454183266932 0.868525896414343
"95" "117 Poplar High Street Tower Hamlets London E14 0AE United Kingdom" "Lansbury Heritage Hotel" 51.5090985 -0.0157302 9.4 82 19.475 26.9 4.925 1 0.75
"96" "117 Rue Lauriston 16th arr 75116 Paris France" "Le Dokhan s a Tribute Portfolio Hotel" 48.8663359 2.2867935 7.9 222 20.0882352941176 17.4264705882353 9.19117647058824 0.941176470588235 0.75
"97" "11bis Rue Godot de Mauroy 9th arr 75009 Paris France" "Le Relais Madeleine" 48.870961 2.3267678 8.7 479 11.551724137931 16.4827586206897 7.82758620689655 0.96551724137931 0.551724137931034
"98" "12 14 Rue Joseph De Maistre 18th arr 75018 Paris France" "Terrass H tel Montmartre by MH" 48.8865626 2.3329648 9 707 13.4278606965174 23.81592039801 6.23383084577114 0.955223880597015 0.721393034825871
"99" "12 Boulevard Haussmann 9th arr 75009 Paris France" "Millennium Hotel Paris Opera" 48.8724588 2.3378004 7.8 515 19.064 15.136 6.752 0.904 0.816
"100" "12 boulevard Malesherbes 8th arr 75008 Paris France" "Waldorf Madeleine" 48.8715828 2.3224853 8.4 1184 13.9786476868327 17.1032028469751 11.288256227758 0.953736654804271 0.711743772241993
"101" "12 Folgate Street City of London London E1 6BX United Kingdom" "Batty Langley s" 51.5208575 -0.0779503 9.4 644 9.89855072463768 24.8347826086957 6.44057971014493 0.979710144927536 0.573913043478261
"102" "12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom" "Best Western Mornington Hotel Hyde Park" 51.5119933 -0.1782794 8 2418 19.8458737864078 16.4199029126214 7.79247572815534 0.906553398058252 0.803398058252427
"103" "12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom" "Arbor City" 51.5166755 -0.0697897 8.9 2197 16.179257362356 19.7823303457106 10.4916773367478 0.937259923175416 0.69270166453265
"104" "12 rue de la Montagne Sainte Genevi ve 5th arr 75005 Paris France" "Hotel La Lanterne" 48.8489839 2.348383 9 499 18.1979166666667 25.3125 7.4375 0.96875 0.708333333333333
"105" "12 Rue de Louvois 2nd arr 75002 Paris France" "H tel Square Louvois" 48.8684165 2.336869 9.3 320 16.0972222222222 29.7916666666667 10 0.958333333333333 0.694444444444444
"106" "12 rue de Marignan 8th arr 75008 Paris France" "Hotel Marignan Champs Elys es" 48.8685093 2.3067895 8.7 645 22.3641975308642 13.8641975308642 8.7283950617284 0.882716049382716 0.808641975308642
"107" "12 rue de Parme 9th arr 75009 Paris France" "Le Grey Hotel" 48.881407 2.3274204 9 393 10.4210526315789 17.0789473684211 7.93421052631579 0.921052631578947 0.671052631578947
"108" "12 rue des Saussaies 8th arr 75008 Paris France" "Le Pavillon des Lettres" 48.8713699 2.3181191 9 164 10.375 19.25 7.075 0.975 0.725
"109" "12 Rue Jean Goujon 8th arr 75008 Paris France" "H tel San R gis" 48.8665788 2.3084447 8.7 277 17.3783783783784 18.7432432432432 5.63513513513514 0.972972972972973 0.702702702702703
"110" "12 rue Saint Didier 16th arr 75016 Paris France" "Garden Elys e" 48.8663444 2.2881979 8.5 378 16.9866666666667 14.16 8.48 0.906666666666667 0.733333333333333
"111" "12 rue Saint Roch 1st arr 75001 Paris France" "Hotel Louvre Montana" 48.8644627 2.3318473 8.4 325 11.3181818181818 18.4545454545455 8.89393939393939 1 0.606060606060606
"112" "12 Upper Woburn Place Camden London WC1H 0HX United Kingdom" "Ambassadors Bloomsbury" 51.5266618 -0.1296571 7.9 1521 19.28515625 13.8619791666667 7.47786458333333 0.897135416666667 0.838541666666667
"113" "123 boulevard S bastopol 2nd arr 75002 Paris France" "Le 123 S bastopol Astotel" 48.8675886 2.3531018 9.3 397 11.8923076923077 26.8615384615385 7.06923076923077 0.976923076923077 0.584615384615385
"114" "123 Rue Du Faubourg Saint Honor 8th arr 75008 Paris France" "Le 123 Elysees Astotel" 48.8730823 2.309659 9.2 171 10.3018867924528 28.0188679245283 8.26415094339623 0.905660377358491 0.641509433962264
"115" "124 Clerkenwell Rd Camden London EC1R 5DJ United Kingdom" "The Bryson Hotel" 51.5220869 -0.1082443 7.8 264 23.9307692307692 17.7384615384615 5.99230769230769 0.930769230769231 0.815384615384615
"116" "128 avenue de Wagram 17th arr 75017 Paris France" "Best Western Mercedes Arc de Triomphe" 48.8848292 2.3035189 7.8 368 18.6896551724138 24.4655172413793 10.6724137931034 0.931034482758621 0.862068965517241
"117" "128 King Henry s Road Camden London NW3 3ST United Kingdom" "London Marriott Hotel Regents Park" 51.5421476 -0.1703073 8.3 1640 21.7154255319149 16.2699468085106 3.96808510638298 0.905585106382979 0.781914893617021
"118" "129 Bayswater Road London W2 4RJ United Kingdom" "Hilton London Hyde Park" 51.51046 -0.1875844 7.8 646 20.5714285714286 14.1196911196911 5.61003861003861 0.895752895752896 0.803088803088803
"119" "13 15 Gower Street Camden London WC1E 6HE United Kingdom" "Staunton Hotel B B" 51.520378 -0.1303414 8.3 615 14.5806451612903 16.2661290322581 6.17338709677419 0.94758064516129 0.737903225806452
"120" "13 Boulevard Du Temple 3rd arr 75003 Paris France" "1K Hotel" 48.8639318 2.3658744 7.7 663 24.9324324324324 15.6013513513514 9.14189189189189 0.918918918918919 0.831081081081081
"121" "13 Rue De La Paix 2nd arr 75002 Paris France" "H tel Westminster" 48.8693409 2.3310263 8.4 1374 18.2044728434505 19.6549520766773 6.33226837060703 0.955271565495208 0.763578274760383
"122" "13 rue des Beaux Arts 6th arr 75006 Paris France" "L H tel" 48.8562272 2.3351758 8.8 224 12.2658227848101 20.8607594936709 4.65822784810127 0.949367088607595 0.683544303797468
"123" "13 Rue Fran ois Ory 92120 Paris France" "Mercure Paris Porte d Orleans" 48.8178079 2.3293636 7.5 110 17.4 18.7 6.7 0.8 0.8
"124" "13 rue Geoffroy Marie 9th arr 75009 Paris France" "Maxim Op ra" 48.8738557 2.3444232 8.4 256 29.6857142857143 16.5714285714286 7.17142857142857 0.914285714285714 0.828571428571429
"125" "13 Rue Jules Cesar 12th arr 75012 Paris France" "Le Marceau Bastille" 48.8490691 2.3697484 8.6 1059 17.3066666666667 19.84 11.48 0.92 0.746666666666667
"126" "13 rue Saint Sulpice 6th arr 75006 Paris France" "Hotel Odeon Saint Germain" 48.8513515 2.3375084 8.6 559 13.2155688622754 17.9161676646707 5.8502994011976 0.958083832335329 0.664670658682635
"127" "130 134 Southampton Row Camden London WC1B 5AF United Kingdom" "Mercure London Bloomsbury Hotel" 51.5210085 -0.1230966 8.3 1361 17.485049833887 15.124584717608 5.53322259136213 0.916943521594684 0.752491694352159
"128" "130 135 Minories City of London London EC3N 1NU United Kingdom" "The Chamberlain" 51.5122457 -0.0757326 8.9 2543 12.6625386996904 22.8390092879257 9.14138286893705 0.96594427244582 0.636738906088751
"129" "130 Tottenham Court Road Camden London W1T 5AY United Kingdom" "Radisson Blu Edwardian Grafton" 51.5241386 -0.1380807 8.3 2826 20.4025110782866 16.6706056129985 6.78360413589365 0.928360413589365 0.793943870014771
"130" "132 Boulevard Haussmann 8th arr 75008 Paris France" "La Villa Haussmann" 48.8753446 2.3167161 9.2 283 21.1707317073171 19.4146341463415 14.2926829268293 0.951219512195122 0.682926829268293
"131" "134 George Street Westminster Borough London W1H 5DN United Kingdom" "London Marriott Hotel Marble Arch" 51.5163841 -0.1635764 8.2 1505 15.91875 15.4645833333333 5.35625 0.952083333333333 0.75
"132" "14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom" "Saint Georges Hotel" 51.517839 -0.1424476 7.5 2092 20.7019230769231 13.1153846153846 8.20741758241758 0.92032967032967 0.842032967032967
